freq,real,imag
1.1802126333e+03,9.5157963706e+01,1.0921256537e-01
1.5284720988e+03,9.5363137381e+01,7.6519145271e-02
2.0508612971e+03,9.5238255177e+01,1.1891376395e-01
2.7473802282e+03,9.5378198851e+01,1.6279584728e-01
3.6760721364e+03,9.5480880527e+01,2.3903089987e-01
4.8949802658e+03,9.5481011091e+01,3.2041617569e-01
6.5201911050e+03,9.5461391487e+01,4.4172424331e-01
8.6677911426e+03,9.5349075008e+01,6.1214351245e-01
1.1569953356e+04,9.5107922764e+01,8.6496871390e-01
1.5400807477e+04,9.5072267922e+01,1.1571924550e+00
2.0508612971e+04,9.5045366385e+01,1.5524082585e+00
2.7357715794e+04,9.4972703092e+01,2.0185765614e+00
3.6528548387e+04,9.4850923290e+01,2.7830794657e+00
4.8717629681e+04,9.4633651040e+01,3.7203541909e+00
6.4911694829e+04,9.4275592901e+01,5.0796065686e+00
8.6619868182e+04,9.3615478667e+01,6.8590267407e+00
1.1076358838e+05,9.5741477793e+01,7.8842145113e+00
1.3341977691e+05,9.5202045695e+01,9.6835051680e+00
1.5985199686e+05,9.4690140054e+01,1.2339839468e+01
1.9761231108e+05,9.4701140554e+01,1.7127297876e+01
2.3537262530e+05,9.2824028889e+01,2.0006849184e+01
2.8823706521e+05,9.1274564666e+01,2.4525652388e+01
3.4865356796e+05,9.2094013011e+01,3.4340293428e+01
4.2039816498e+05,9.0948191058e+01,4.3885477057e+01
5.1102291910e+05,9.2277786100e+01,5.3691755079e+01
6.2052783034e+05,9.1398361276e+01,6.7868020259e+01
7.4891289869e+05,9.4882286243e+01,8.4169115206e+01
9.0750621841e+05,9.5765969769e+01,1.0814567865e+02
1.1000838209e+06,1.0545323273e+02,1.3234108884e+02
1.3341977691e+06,1.1360246018e+02,1.7075108025e+02
1.6174001257e+06,1.3827352916e+02,2.1768110535e+02
1.9572429537e+06,1.7948475504e+02,2.8407380837e+02
2.3726064101e+06,2.7611471425e+02,3.7331494250e+02
2.8748185893e+06,5.1095507732e+02,4.4453557700e+02
3.4789836168e+06,8.9006693874e+02,1.7948300891e+02
4.2153097440e+06,7.2335703045e+02,-3.1487588537e+02
5.1102291910e+06,4.0572709794e+02,-3.6181859015e+02
6.1901741777e+06,2.6037451434e+02,-2.8762840847e+02
7.5004570811e+06,1.9574165872e+02,-2.2087093597e+02
9.0863902784e+06,1.6250300527e+02,-1.7163110782e+02
1.1076358838e+07,1.4931424463e+02,-1.4265299711e+02
1.3341977691e+07,1.3888835880e+02,-1.1556299945e+02
1.5985199686e+07,1.3250082221e+02,-9.4873078861e+01
1.9761231108e+07,1.2772583772e+02,-7.5693517974e+01
2.3537262530e+07,1.2511653032e+02,-6.3186156178e+01
2.8823706521e+07,1.2310644016e+02,-5.1311520624e+01
3.4865356796e+07,1.2191596346e+02,-4.2304930199e+01
4.2039816498e+07,1.2112289178e+02,-3.5048985695e+01
5.1102291910e+07,1.2055869172e+02,-2.8833174299e+01
6.2052783034e+07,1.2025410752e+02,-2.3715623733e+01
7.4891289869e+07,1.1992511453e+02,-1.9741192776e+01
9.0750621841e+07,1.1978560984e+02,-1.6297159905e+01
1.1000838209e+08,1.1955613243e+02,-1.3577840076e+01
1.3341977691e+08,1.1938018612e+02,-1.1155890239e+01
1.6174001257e+08,1.1933748360e+02,-9.3713085413e+00
1.9572429537e+08,1.1910506622e+02,-7.7914679175e+00
2.3726064101e+08,1.1896574048e+02,-6.6397386266e+00
2.8748185893e+08,1.1867215981e+02,-5.6417648990e+00
3.4789836168e+08,1.1828335664e+02,-4.8537847617e+00
4.2153097440e+08,1.1770347183e+02,-4.2051482021e+00
