freq,real,imag
1.0060829005e+03,2.1897252555e-03,3.0780572545e-04
1.3543423660e+03,2.1866498118e-03,3.6222341168e-04
1.7606450758e+03,2.0023157159e-03,2.1954696547e-04
2.3991207627e+03,2.9638163266e-03,2.4686540475e-04
3.1536829380e+03,2.5214552203e-03,4.0011404522e-04
4.1984613347e+03,2.6731123508e-03,3.5629618952e-04
5.6495424412e+03,2.7500785401e-03,5.2830694947e-04
7.5069262574e+03,3.9119928253e-04,-5.6582739063e-04
1.0002785761e+04,2.4342527984e-03,8.7758136489e-04
1.3311250683e+04,1.9340729912e-03,9.8764300333e-04
1.7780580491e+04,2.0938817970e-04,1.7190319567e-04
2.3700991406e+04,1.2442988844e-04,6.3602120262e-04
3.1594872625e+04,2.1946064664e-03,2.5510610624e-03
4.2158743080e+04,2.0158864800e-03,3.4464052454e-03
5.6205208190e+04,2.3459954164e-03,4.5629439544e-03
7.5011219330e+04,2.2871338127e-03,6.1380984950e-03
9.9435494112e+04,3.1234193850e-03,7.7427641239e-03
1.0002785761e+05,2.5519693290e-03,8.1296795203e-03
1.2209168264e+05,3.6556203299e-03,9.1622418678e-03
1.4852390260e+05,4.3745577143e-03,1.1331394353e-02
1.7873215397e+05,3.2430285246e-03,1.1439758562e-02
2.1649246819e+05,4.0992675133e-03,1.4317084437e-02
2.6180484526e+05,5.4996268247e-03,1.7259237586e-02
3.1466928516e+05,5.8867596194e-03,2.0506066874e-02
3.8263785076e+05,7.9642245201e-03,2.7171233988e-02
4.6571054204e+05,8.4413708373e-03,3.2128843922e-02
5.6388735901e+05,9.0800406342e-03,3.7992404677e-02
6.8094433309e+05,9.8854448338e-03,4.2383582185e-02
8.2443352713e+05,1.2113015487e-02,5.2500130657e-02
9.9813097254e+05,1.5259469640e-02,6.4597629789e-02
1.2133647636e+06,1.6637841549e-02,8.3804006875e-02
1.4663588689e+06,1.7910539872e-02,9.8478704467e-02
1.7797694769e+06,3.6757729103e-02,1.3746480863e-01
2.1535965877e+06,4.8626241962e-02,1.8452761018e-01
2.6104963897e+06,1.3656562270e-01,2.4444675299e-01
3.1617969773e+06,3.0725208979e-01,2.8538177221e-01
3.8301545390e+06,4.4740059320e-01,6.2040414620e-03
4.6420012947e+06,3.0001083584e-01,-1.5405566739e-01
5.6237694644e+06,1.8300382079e-01,-1.4871502244e-01
6.8132193624e+06,1.2943542028e-01,-1.1998249676e-01
8.2556633655e+06,1.0163707628e-01,-9.6332107462e-02
9.9435494112e+06,8.6551673126e-02,-8.0098498413e-02
1.0000189882e+07,8.6049117178e-02,-7.6819881330e-02
1.2209168264e+07,7.7539392181e-02,-6.3386911392e-02
1.4852390260e+07,7.2394582350e-02,-5.1089746693e-02
1.7873215397e+07,6.9141345451e-02,-4.2006028302e-02
2.1649246819e+07,6.6361607957e-02,-3.4652971023e-02
2.6180484526e+07,6.5144299540e-02,-2.8513230468e-02
3.1466928516e+07,6.4312764951e-02,-2.3447095528e-02
3.8263785076e+07,6.3775621240e-02,-1.9201952188e-02
4.6571054204e+07,6.3102816620e-02,-1.6171400902e-02
5.6388735901e+07,6.2878877948e-02,-1.3218893689e-02
6.8094433309e+07,6.2845478154e-02,-1.0933903110e-02
8.2443352713e+07,6.2704861930e-02,-9.1446255029e-03
9.9813097254e+07,6.2596695500e-02,-7.9520548433e-03
1.2133647636e+08,6.2553759683e-02,-6.5117133770e-03
1.4663588689e+08,6.2490503500e-02,-5.8656817159e-03
1.7797694769e+08,6.2485448375e-02,-4.8931039573e-03
2.1535965877e+08,6.2562993576e-02,-4.5137393295e-03
2.6104963897e+08,6.2551745290e-02,-4.1624463781e-03
3.1617969773e+08,6.2540865957e-02,-3.9713409696e-03
3.8301545390e+08,6.2535410231e-02,-3.9314540223e-03
4.6420012947e+08,6.2535159875e-02,-4.0493710937e-03
