# GT DIGEST pasted from the red-zone report 'myldo' (build 76c630d59, 2026-06-11)
# RED-ZONE VERIFICATION ROUND 7: report TOTAL composite = 1.81, header showed
# C_ft=174.4fF + noise HYBRID 4 sections @ fvk = 546 3.38e4 1.33e6 4.94e10
# (the 49.4GHz pole sits beyond the 6.3GHz noise-data top -> bound-riding, see ident)
# Zout sign auto-corrected at import for z_100u/z_200u/z_300u (known testbench V/I inversion)
# columns: f[Hz], |Z|[ohm], Zph[deg], PSRRatt[dB], Hph[deg], Sv[V/rtHz]
# corner 100u
3.0699e+07, 415.3, 3.634, 0.1171, 6.522, 1.315e-08
3.5431e+07, 414.9, 1.961, 0.1214, 4.698, 1.141e-08
3.9925e+07, 414.5, 0.6421, 0.1285, 3.296, 1.018e-08
4.0893e+07, 414.4, 0.3827, 0.1302, 3.025, 9.953e-09
4.7196e+07, 413.7, -1.155, 0.1413, 1.445, 8.76e-09
5.4471e+07, 413, -2.703, 0.1551, -0.09057, 7.789e-09
6.2867e+07, 412, -4.304, 0.1735, -1.626, 7.005e-09
6.3285e+07, 412, -4.38, 0.1745, -1.698, 6.973e-09
1.0031e+08, 405.4, -10.29, 0.3055, -7.004, 5.363e-09
1.5900e+08, 388.8, -17.9, 0.6544, -13.3, 4.489e-09
2.5204e+08, 355.6, -27.4, 1.396, -20.52, 3.845e-09
3.9950e+08, 303.9, -38.12, 2.674, -27.52, 3.2e-09
6.3325e+08, 241.3, -48.87, 4.464, -32.5, 2.528e-09
1.0038e+09, 179.1, -58.77, 6.566, -33.87, 1.886e-09
1.5910e+09, 125.3, -67.06, 8.642, -30.76, 1.335e-09
2.5219e+09, 84.02, -73.12, 10.27, -23.82, 9.165e-10
3.9975e+09, 55.14, -76.98, 11.21, -15.5, 6.276e-10
6.3364e+09, 35.9, -79.11, 11.57, -8.099, 4.393e-10
1.0044e+10, 23.29, -79.65, 11.61, -1.987, -
1.5920e+10, 16.44, -81.42, 10.73, 0.525, -
2.5235e+10, 10.38, -82.81, 10.78, 1.708, -
4.0000e+10, 6.742, -83.86, 10.55, 2.107, -
# corner 300u
1.0000e+03, 0.2982, 60.59, 70.35, 88.01, 7.596e-06
1.5851e+03, 0.4373, 70.29, 66.35, 88.67, 5.036e-06
2.5125e+03, 0.6697, 77.03, 62.35, 89.02, 3.306e-06
3.9826e+03, 1.046, 81.35, 58.35, 89.15, 2.286e-06
6.3127e+03, 1.649, 83.91, 54.35, 89.09, 1.701e-06
1.0006e+04, 2.606, 85.18, 50.35, 88.84, 1.332e-06
