1.000000000000000000e+01,1.923452030000000146e-06
1.122018450000000023e+01,1.815967840000000080e-06
1.258925409999999978e+01,1.714502860000000058e-06
1.412537539999999936e+01,1.618720770000000019e-06
1.584893190000000018e+01,1.528304080000000024e-06
1.778279410000000027e+01,1.442953090000000079e-06
1.995262310000000028e+01,1.362384909999999971e-06
2.238721140000000176e+01,1.286332460000000087e-06
2.511886429999999848e+01,1.214543680000000030e-06
2.818382929999999931e+01,1.146780599999999903e-06
3.162277660000000168e+01,1.082818609999999991e-06
3.548133889999999724e+01,1.022445690000000089e-06
3.981071709999999797e+01,9.654617279999999859e-07
4.466835919999999760e+01,9.116778369999999574e-07
5.011872340000000037e+01,8.609157329999999889e-07
5.623413250000000119e+01,8.130071489999999801e-07
6.309573439999999778e+01,7.677932730000000358e-07
7.079457840000000601e+01,7.251242220000000396e-07
7.943282349999999781e+01,6.848585479999999800e-07
8.912509380000000192e+01,6.468627610000000199e-07
1.000000000000000000e+02,6.110108949999999809e-07
1.122018450000000058e+02,5.771840830000000252e-07
1.258925409999999943e+02,5.452701639999999711e-07
1.412537539999999865e+02,5.151633109999999556e-07
1.584893189999999947e+02,4.867636790000000039e-07
1.778279410000000098e+02,4.599770699999999794e-07
1.995262309999999957e+02,4.347146250000000015e-07
2.238721140000000105e+02,4.108925189999999745e-07
2.511886430000000132e+02,3.884316870000000230e-07
2.818382930000000215e+02,3.672575569999999999e-07
3.162277659999999742e+02,3.472998000000000087e-07
3.548133889999999724e+02,3.284920930000000207e-07
3.981071709999999939e+02,3.107718940000000110e-07
4.466835919999999760e+02,2.940802299999999842e-07
5.011872339999999895e+02,2.783614949999999827e-07
5.623413249999999834e+02,2.635632609999999830e-07
6.309573440000000346e+02,2.496360920000000155e-07
7.079457840000000033e+02,2.365333780000000125e-07
7.943282349999999497e+02,2.242111620000000004e-07
8.912509380000000192e+02,2.126279890000000030e-07
1.000000000000000000e+03,2.017447549999999956e-07
1.122018450000000030e+03,1.915245590000000044e-07
1.258925410000000056e+03,1.819325699999999939e-07
1.412537540000000035e+03,1.729358920000000128e-07
1.584893190000000004e+03,1.645034349999999905e-07
1.778279410000000098e+03,1.566057949999999905e-07
1.995262310000000070e+03,1.492151330000000091e-07
2.238721140000000105e+03,1.423050629999999930e-07
2.511886430000000018e+03,1.358505429999999999e-07
2.818382930000000215e+03,1.298277679999999951e-07
3.162277660000000196e+03,1.242140750000000104e-07
3.548133890000000065e+03,1.189878450000000000e-07
3.981071710000000166e+03,1.141284170000000052e-07
4.466835920000000442e+03,1.096160079999999963e-07
5.011872339999999895e+03,1.054316409999999955e-07
5.623413249999999607e+03,1.015570740000000045e-07
6.309573440000000119e+03,9.797475099999999888e-08
7.079457840000000033e+03,9.466774879999999709e-08
7.943282350000000406e+03,9.161974129999999447e-08
8.912509379999999510e+03,8.881496929999999671e-08
1.000000000000000000e+04,8.623822029999999680e-08
1.122018449999999939e+04,8.387481530000000397e-08
1.258925410000000011e+04,8.171060290000000370e-08
1.412537540000000081e+04,7.973195929999999748e-08
1.584893189999999959e+04,7.792579109999999705e-08
1.778279409999999916e+04,7.627954119999999813e-08
1.995262310000000070e+04,7.478119489999999735e-08
2.238721140000000014e+04,7.341928519999999548e-08
2.511886430000000109e+04,7.218289460000000138e-08
2.818382930000000124e+04,7.106165389999999852e-08
3.162277660000000105e+04,7.004573410000000030e-08
3.548133890000000247e+04,6.912583379999999638e-08
3.981071710000000166e+04,6.829315720000000525e-08
4.466835919999999896e+04,6.753938520000000382e-08
5.011872340000000258e+04,6.685663650000000594e-08
5.623413249999999971e+04,6.623741819999999712e-08
6.309573440000000119e+04,6.567456400000000408e-08
7.079457839999999851e+04,6.516115850000000284e-08
7.943282349999999860e+04,6.469044269999999941e-08
8.912509380000000237e+04,6.425569839999999960e-08
1.000000000000000000e+05,6.385010249999999396e-08
1.122018450000000012e+05,6.346654380000000526e-08
1.258925409999999974e+05,6.309738789999999541e-08
1.412537539999999863e+05,6.273417350000000514e-08
1.584893189999999886e+05,6.236721269999999854e-08
1.778279409999999916e+05,6.198506340000000582e-08
1.995262309999999998e+05,6.157382889999999939e-08
2.238721140000000014e+05,6.111623130000000537e-08
2.511886430000000109e+05,6.059040049999999888e-08
2.818382930000000051e+05,5.996834100000000419e-08
3.162277660000000033e+05,5.921409309999999829e-08
3.548133890000000247e+05,5.828176609999999860e-08
3.981071709999999730e+05,5.711393129999999739e-08
4.466835920000000042e+05,5.564142150000000209e-08
5.011872339999999967e+05,5.378635400000000300e-08
5.623413249999999534e+05,5.147087150000000184e-08
6.309573440000000410e+05,4.863374010000000212e-08
7.079457839999999851e+05,4.525411429999999783e-08
7.943282349999999860e+05,4.137583880000000095e-08
8.912509379999999655e+05,3.711957280000000033e-08
1.000000000000000000e+06,3.267079569999999793e-08
1.122018449999999953e+06,2.824356229999999910e-08
1.258925409999999916e+06,2.403523200000000099e-08
1.412537540000000037e+06,2.019222049999999891e-08
1.584893189999999944e+06,1.679737930000000159e-08
1.778279409999999916e+06,1.387628260000000040e-08
1.995262310000000056e+06,1.141300870000000048e-08
2.238721140000000130e+06,9.366961829999999347e-09
2.511886430000000168e+06,7.686301910000000257e-09
2.818382930000000168e+06,6.316925869999999616e-09
3.162277660000000149e+06,5.207655579999999941e-09
3.548133890000000130e+06,4.312757189999999998e-09
3.981071709999999963e+06,3.592802530000000146e-09
4.466835919999999925e+06,3.014602699999999942e-09
5.011872339999999851e+06,2.550681899999999908e-09
5.623413250000000000e+06,2.178567249999999801e-09
6.309573440000000410e+06,1.880044970000000068e-09
7.079457839999999851e+06,1.640457539999999939e-09
7.943282349999999627e+06,1.448073939999999917e-09
8.912509380000000820e+06,1.293542629999999992e-09
1.000000000000000000e+07,1.169426199999999992e-09
1.122018450000000000e+07,1.069812289999999913e-09
1.258925409999999963e+07,9.899936090000000200e-10
1.412537540000000037e+07,9.262089669999999785e-10
1.584893190000000037e+07,8.754371400000000067e-10
1.778279410000000149e+07,8.352349959999999832e-10
1.995262310000000149e+07,8.036119899999999510e-10
2.238721139999999851e+07,7.789339410000000378e-10
2.511886430000000075e+07,7.598501960000000018e-10
2.818382930000000075e+07,7.452394079999999716e-10
3.162277660000000149e+07,7.341697789999999658e-10
3.548133889999999851e+07,7.258700350000000492e-10
3.981071710000000149e+07,7.197075619999999645e-10
4.466835920000000298e+07,7.151706480000000354e-10
5.011872339999999851e+07,7.118525619999999953e-10
5.623413250000000000e+07,7.094362619999999568e-10
6.309573439999999851e+07,7.076794660000000206e-10
7.079457840000000596e+07,7.064004309999999562e-10
7.943282350000000000e+07,7.054650120000000363e-10
8.912509379999999702e+07,7.047754559999999827e-10
1.000000000000000000e+08,7.042611450000000403e-10
