 1.00000000e+01  6.10473528e-10 
 1.12201845e+01  6.10473528e-10 
 1.25892541e+01  6.10473528e-10 
 1.41253754e+01  6.10473528e-10 
 1.58489319e+01  6.10473528e-10 
 1.77827941e+01  6.10473528e-10 
 1.99526231e+01  6.10473528e-10 
 2.23872114e+01  6.10473528e-10 
 2.51188643e+01  6.10473528e-10 
 2.81838293e+01  6.10473528e-10 
 3.16227766e+01  6.10473528e-10 
 3.54813389e+01  6.10473528e-10 
 3.98107171e+01  6.10473528e-10 
 4.46683592e+01  6.10473528e-10 
 5.01187234e+01  6.10473528e-10 
 5.62341325e+01  6.10473528e-10 
 6.30957344e+01  6.10473528e-10 
 7.07945784e+01  6.10473528e-10 
 7.94328235e+01  6.10473528e-10 
 8.91250938e+01  6.10473528e-10 
 1.00000000e+02  6.10473528e-10 
 1.12201845e+02  6.10473528e-10 
 1.25892541e+02  6.10473528e-10 
 1.41253754e+02  6.10473528e-10 
 1.58489319e+02  6.10473528e-10 
 1.77827941e+02  6.10473528e-10 
 1.99526231e+02  6.10473528e-10 
 2.23872114e+02  6.10473528e-10 
 2.51188643e+02  6.10473528e-10 
 2.81838293e+02  6.10473528e-10 
 3.16227766e+02  6.10473528e-10 
 3.54813389e+02  6.10473527e-10 
 3.98107171e+02  6.10473527e-10 
 4.46683592e+02  6.10473527e-10 
 5.01187234e+02  6.10473527e-10 
 5.62341325e+02  6.10473526e-10 
 6.30957344e+02  6.10473526e-10 
 7.07945784e+02  6.10473525e-10 
 7.94328235e+02  6.10473524e-10 
 8.91250938e+02  6.10473523e-10 
 1.00000000e+03  6.10473522e-10 
 1.12201845e+03  6.10473521e-10 
 1.25892541e+03  6.10473519e-10 
 1.41253754e+03  6.10473516e-10 
 1.58489319e+03  6.10473513e-10 
 1.77827941e+03  6.10473509e-10 
 1.99526231e+03  6.10473504e-10 
 2.23872114e+03  6.10473498e-10 
 2.51188643e+03  6.10473490e-10 
 2.81838293e+03  6.10473480e-10 
 3.16227766e+03  6.10473467e-10 
 3.54813389e+03  6.10473452e-10 
 3.98107171e+03  6.10473432e-10 
