freq,real,imag
1.0060829005e+03,1.4589112637e-02,1.2070413357e-04
1.3543423660e+03,1.4571088009e-02,1.4230855423e-04
1.7606450758e+03,1.4604965791e-02,2.0495201903e-04
2.3991207627e+03,1.4571560608e-02,2.4225040517e-04
3.1536829380e+03,1.4572252848e-02,3.1503388610e-04
4.1984613347e+03,1.4554685794e-02,4.0323292804e-04
5.6495424412e+03,1.4571052519e-02,5.5376623068e-04
7.5069262574e+03,1.4583568235e-02,7.1692104346e-04
1.0002785761e+04,1.4572376732e-02,9.4823667158e-04
1.3311250683e+04,1.4573705779e-02,1.2657467222e-03
1.7780580491e+04,1.4570622801e-02,1.6922902757e-03
2.3700991406e+04,1.4556548365e-02,2.2729664071e-03
3.1594872625e+04,1.4566212525e-02,3.0377349881e-03
4.2158743080e+04,1.4594779958e-02,4.0506907010e-03
5.6205208190e+04,1.4613923887e-02,5.4232537416e-03
7.5011219330e+04,1.4629035928e-02,7.2971359911e-03
9.9435494112e+04,1.4747489657e-02,9.6510732126e-03
1.0002785761e+05,1.4691451229e-02,9.8414846537e-03
1.2209168264e+05,1.4804720237e-02,1.1809776383e-02
1.4852390260e+05,1.4868867993e-02,1.4339684041e-02
1.7873215397e+05,1.5080874899e-02,1.7246319737e-02
2.1649246819e+05,1.5254824368e-02,2.1146494508e-02
2.6180484526e+05,1.5527969727e-02,2.5607373587e-02
3.1466928516e+05,1.6044318827e-02,3.0965812010e-02
3.8263785076e+05,1.6696758065e-02,3.7893638871e-02
4.6571054204e+05,1.7752241503e-02,4.7030852304e-02
5.6388735901e+05,1.9480769731e-02,5.8172627967e-02
6.8094433309e+05,2.2177178893e-02,7.2632950856e-02
8.2443352713e+05,2.6895860066e-02,9.2722300471e-02
9.9813097254e+05,3.5531223973e-02,1.2204380345e-01
1.2133647636e+06,5.5395115037e-02,1.6962505073e-01
1.4663588689e+06,1.0842745199e-01,2.5389431933e-01
1.7797694769e+06,3.5734562010e-01,4.0586997252e-01
2.1535965877e+06,7.6869364895e-01,-3.3644146090e-01
2.6104963897e+06,1.5070759850e-01,-3.5347182419e-01
3.1617969773e+06,4.9158663804e-02,-2.1643917925e-01
3.8301545390e+06,2.3145684195e-02,-1.4877121555e-01
4.6420012947e+06,1.3333551478e-02,-1.0969104859e-01
5.6237694644e+06,8.7568458806e-03,-8.4273872338e-02
6.8132193624e+06,6.3185499198e-03,-6.6322733281e-02
8.2556633655e+06,4.8962061395e-03,-5.2951014461e-02
9.9435494112e+06,4.0688548981e-03,-4.3956904197e-02
1.0000189882e+07,4.0088597513e-03,-4.2651962976e-02
1.2209168264e+07,3.4629241252e-03,-3.5439781334e-02
1.4852390260e+07,3.0599765753e-03,-2.9020832048e-02
1.7873215397e+07,2.7572094336e-03,-2.4113709355e-02
2.1649246819e+07,2.4707023663e-03,-1.9943382748e-02
2.6180484526e+07,2.2706185504e-03,-1.6575321201e-02
3.1466928516e+07,2.1061706970e-03,-1.3865447813e-02
3.8263785076e+07,1.9495457039e-03,-1.1475838082e-02
4.6571054204e+07,1.8000550061e-03,-9.4813136150e-03
5.6388735901e+07,1.7035092070e-03,-7.8663178631e-03
6.8094433309e+07,1.6269488661e-03,-6.5403310088e-03
8.2443352713e+07,1.5655832257e-03,-5.4177273380e-03
9.9813097254e+07,1.5167343950e-03,-4.4858146302e-03
1.2133647636e+08,1.4879534180e-03,-3.6946193587e-03
1.4663588689e+08,1.4628146126e-03,-3.0615727587e-03
1.7797694769e+08,1.4495118857e-03,-2.5229325813e-03
2.1535965877e+08,1.4381501764e-03,-2.0871480267e-03
2.6104963897e+08,1.4306240481e-03,-1.7220936710e-03
3.1617969773e+08,1.4254883532e-03,-1.4217071824e-03
3.8301545390e+08,1.4219475632e-03,-1.1732674883e-03
4.6420012947e+08,1.4195027952e-03,-9.6753717256e-04
