freq,real,imag
1.1802126333e+03,1.8325206729e+01,4.7683669005e-02
1.5284720988e+03,1.8316093758e+01,5.3978073397e-02
2.0508612971e+03,1.8316432716e+01,7.2315512158e-02
2.7473802282e+03,1.8340964596e+01,9.2280654834e-02
3.6760721364e+03,1.8324834162e+01,1.3520749063e-01
4.8949802658e+03,1.8332297178e+01,1.6187961922e-01
6.5201911050e+03,1.8331003590e+01,2.3984626691e-01
8.6677911426e+03,1.8339521072e+01,3.0933404700e-01
1.1569953356e+04,1.8330036637e+01,4.1692934019e-01
1.5400807477e+04,1.8328619575e+01,5.5178335334e-01
2.0508612971e+04,1.8320239279e+01,7.1485726905e-01
2.7357715794e+04,1.8316588433e+01,9.5619213678e-01
3.6528548387e+04,1.8315503404e+01,1.2972815104e+00
4.8717629681e+04,1.8304012584e+01,1.7307851666e+00
6.4911694829e+04,1.8269432905e+01,2.3001093364e+00
8.6619868182e+04,1.8233822201e+01,3.0925942394e+00
1.1076358838e+05,1.8426876624e+01,3.9064080265e+00
1.3341977691e+05,1.8473299599e+01,4.7228695296e+00
1.5985199686e+05,1.8533324022e+01,5.6506670946e+00
1.9761231108e+05,1.8582931052e+01,7.0076058428e+00
2.3537262530e+05,1.8779499491e+01,8.3758415155e+00
2.8823706521e+05,1.9015132348e+01,1.0295388826e+01
3.4865356796e+05,1.9352374857e+01,1.2580432959e+01
4.2039816498e+05,1.9839720180e+01,1.5367847363e+01
5.1102291910e+05,2.0634376312e+01,1.9023874153e+01
6.2052783034e+05,2.1863188068e+01,2.3713105497e+01
7.4891289869e+05,2.3813832924e+01,2.9801171774e+01
9.0750621841e+05,2.7290189228e+01,3.8316502334e+01
1.1000838209e+06,3.4034743818e+01,5.1403207427e+01
1.3341977691e+06,4.9315823670e+01,7.2614697095e+01
1.6174001257e+06,9.7130798583e+01,1.1076152470e+02
1.9572429537e+06,3.0921005056e+02,6.3356327594e+01
2.3726064101e+06,1.0071401181e+02,-1.9279850787e+02
2.8748185893e+06,1.7585109888e+01,-1.0738791531e+02
3.4789836168e+06,5.0817016510e+00,-6.8723983356e+01
4.2153097440e+06,2.0200884880e+00,-4.8642341075e+01
5.1102291910e+06,1.0628810376e+00,-3.6393859200e+01
6.1901741777e+06,7.2580634964e-01,-2.8138097040e+01
7.5004570811e+06,6.0236396566e-01,-2.2133935042e+01
9.0863902784e+06,5.5881683703e-01,-1.7566873642e+01
1.1076358838e+07,5.2652363178e-01,-1.4813358081e+01
1.3341977691e+07,5.1927369063e-01,-1.2164540943e+01
1.5985199686e+07,5.1638474743e-01,-1.0080711715e+01
1.9761231108e+07,5.1638377324e-01,-8.1075120725e+00
2.3537262530e+07,5.0790203320e-01,-6.7863718801e+00
2.8823706521e+07,5.0698613884e-01,-5.5298122026e+00
3.4865356796e+07,5.0560276157e-01,-4.5658563689e+00
4.2039816498e+07,5.0420436049e-01,-3.7837173763e+00
5.1102291910e+07,5.0286044824e-01,-3.1110014491e+00
6.2052783034e+07,5.0369383891e-01,-2.5618869540e+00
7.4891289869e+07,5.0083034037e-01,-2.1210099064e+00
9.0750621841e+07,5.0157289954e-01,-1.7500463007e+00
1.1000838209e+08,4.9955900863e-01,-1.4422421147e+00
1.3341977691e+08,5.0056800959e-01,-1.1873194841e+00
1.6174001257e+08,4.9948545702e-01,-9.7874645164e-01
1.9572429537e+08,4.9901892828e-01,-8.0628899127e-01
2.3726064101e+08,4.9793672032e-01,-6.6358741375e-01
2.8748185893e+08,4.9680266560e-01,-5.4500377453e-01
3.4789836168e+08,4.9525034405e-01,-4.4711703937e-01
4.2153097440e+08,4.9301718216e-01,-3.6496723983e-01
