freq,real,imag
1.1802126333e+03,2.6727697970e+02,-2.3919052864e-01
1.5284720988e+03,2.6803368073e+02,-5.5401833829e-01
2.0508612971e+03,2.6756903838e+02,-6.7065972918e-01
2.7473802282e+03,2.6809642224e+02,-9.0080925701e-01
3.6760721364e+03,2.6847283959e+02,-1.1302128497e+00
4.8949802658e+03,2.6847026036e+02,-1.4824318946e+00
6.5201911050e+03,2.6839778150e+02,-1.9083029972e+00
8.6677911426e+03,2.6799821835e+02,-2.4224306736e+00
1.1569953356e+04,2.6713769011e+02,-2.9972788669e+00
1.5400807477e+04,2.6703571478e+02,-3.9654280830e+00
2.0508612971e+04,2.6699084686e+02,-5.2522364691e+00
2.7357715794e+04,2.6680321049e+02,-7.2229232625e+00
3.6528548387e+04,2.6657773533e+02,-9.3655224343e+00
4.8717629681e+04,2.6607057308e+02,-1.2576713449e+01
6.4911694829e+04,2.6534365707e+02,-1.6599424502e+01
8.6619868182e+04,2.6371507187e+02,-2.2457523042e+01
1.1076358838e+05,2.6047891811e+02,-2.8277902969e+01
1.3341977691e+05,2.5860986868e+02,-3.3933775839e+01
1.5985199686e+05,2.5897160157e+02,-3.9653582496e+01
1.9761231108e+05,2.5817246960e+02,-4.8334102831e+01
2.3537262530e+05,2.5445087886e+02,-5.7470533724e+01
2.8823706521e+05,2.4561398621e+02,-7.1060077786e+01
3.4865356796e+05,2.4286411840e+02,-8.3964312767e+01
4.2039816498e+05,2.3342509841e+02,-9.7020182069e+01
5.1102291910e+05,2.1243784411e+02,-1.1598773627e+02
6.2052783034e+05,1.9159520284e+02,-1.2944125917e+02
7.4891289869e+05,1.6039277279e+02,-1.3948777365e+02
9.0750621841e+05,1.3228949559e+02,-1.4147229238e+02
1.1000838209e+06,9.7895495540e+01,-1.3125818016e+02
1.3341977691e+06,7.4529542822e+01,-1.1689911205e+02
1.6174001257e+06,5.7161626229e+01,-9.8380359853e+01
1.9572429537e+06,4.6642908982e+01,-8.1610160615e+01
2.3726064101e+06,4.0025240517e+01,-6.6865063860e+01
2.8748185893e+06,3.6144750997e+01,-5.4658212933e+01
3.4789836168e+06,3.3727372421e+01,-4.4720277439e+01
4.2153097440e+06,3.2211942127e+01,-3.6555706647e+01
5.1102291910e+06,3.1215692909e+01,-2.9874447477e+01
6.1901741777e+06,3.0523392918e+01,-2.4418054198e+01
7.5004570811e+06,2.9989291987e+01,-1.9910893929e+01
9.0863902784e+06,2.9518921830e+01,-1.6172355181e+01
1.1076358838e+07,3.0048744575e+01,-1.3889081759e+01
1.3341977691e+07,2.9935709772e+01,-1.1542250137e+01
1.5985199686e+07,2.9858462925e+01,-9.6526673412e+00
1.9761231108e+07,2.9795184406e+01,-7.8374821329e+00
2.3537262530e+07,2.9757218324e+01,-6.6107978853e+00
2.8823706521e+07,2.9724534369e+01,-5.4393214076e+00
3.4865356796e+07,2.9701206675e+01,-4.5420887422e+00
4.2039816498e+07,2.9683234498e+01,-3.8189517782e+00
5.1102291910e+07,2.9667857029e+01,-3.2054966102e+00
6.2052783034e+07,2.9654903903e+01,-2.7150843146e+00
7.4891289869e+07,2.9642802185e+01,-2.3375827581e+00
9.0750621841e+07,2.9630315283e+01,-2.0360930237e+00
1.1000838209e+08,2.9615206107e+01,-1.8097272342e+00
1.3341977691e+08,2.9595927594e+01,-1.6487836627e+00
1.6174001257e+08,2.9569679287e+01,-1.5498181966e+00
1.9572429537e+08,2.9532572843e+01,-1.5070500773e+00
2.3726064101e+08,2.9478978389e+01,-1.5189708430e+00
2.8748185893e+08,2.9401049836e+01,-1.5842258594e+00
3.4789836168e+08,2.9288398759e+01,-1.7032323403e+00
4.2153097440e+08,2.9123309199e+01,-1.8785819953e+00
