freq,real,imag
1.1802126333e+03,2.2681828550e+01,2.0424803219e-02
1.5284720988e+03,2.2680274977e+01,2.4838193343e-02
2.0508612971e+03,2.2680131220e+01,3.3322319415e-02
2.7473802282e+03,2.2686024915e+01,4.3098335368e-02
3.6760721364e+03,2.2682033368e+01,6.0844552462e-02
4.8949802658e+03,2.2684143900e+01,7.6821919083e-02
6.5201911050e+03,2.2683687471e+01,1.0858691311e-01
8.6677911426e+03,2.2684742703e+01,1.4226827339e-01
1.1569953356e+04,2.2681605039e+01,1.9059685463e-01
1.5400807477e+04,2.2679751266e+01,2.5292559525e-01
2.0508612971e+04,2.2674297645e+01,3.3232886089e-01
2.7357715794e+04,2.2668383946e+01,4.4411307327e-01
3.6528548387e+04,2.2660010506e+01,5.9835470132e-01
4.8717629681e+04,2.2641480714e+01,7.9991732316e-01
6.4911694829e+04,2.2604968202e+01,1.0689674480e+00
8.6619868182e+04,2.2547330955e+01,1.4421153360e+00
1.1076358838e+05,2.2738922092e+01,1.7827126447e+00
1.3341977691e+05,2.2767543337e+01,2.1559438095e+00
1.5985199686e+05,2.2811985846e+01,2.5788962451e+00
1.9761231108e+05,2.2895793224e+01,3.2173712506e+00
2.3537262530e+05,2.2977490327e+01,3.8065552091e+00
2.8823706521e+05,2.3120547678e+01,4.6559598975e+00
3.4865356796e+05,2.3364719260e+01,5.6695760107e+00
4.2039816498e+05,2.3668546694e+01,6.8540084721e+00
5.1102291910e+05,2.4170161336e+01,8.2939189471e+00
6.2052783034e+05,2.4893061270e+01,1.0083906112e+01
7.4891289869e+05,2.6012150345e+01,1.2141630264e+01
9.0750621841e+05,2.7722699308e+01,1.4703579470e+01
1.1000838209e+06,3.0505643322e+01,1.7527963584e+01
1.3341977691e+06,3.4904951951e+01,2.0591287820e+01
1.6174001257e+06,4.1918701504e+01,2.2764974307e+01
1.9572429537e+06,5.1833394726e+01,2.1725827100e+01
2.3726064101e+06,6.2201877107e+01,1.3548165390e+01
2.8748185893e+06,6.5213661613e+01,-9.7874099834e-01
3.4789836168e+06,5.8592156734e+01,-1.2747492689e+01
4.2153097440e+06,4.9153817425e+01,-1.7265079348e+01
5.1102291910e+06,4.1596878023e+01,-1.7137901752e+01
6.1901741777e+06,3.6484498456e+01,-1.5268091466e+01
7.5004570811e+06,3.3095958395e+01,-1.3006976776e+01
9.0863902784e+06,3.0789036378e+01,-1.0843366835e+01
1.1076358838e+07,3.0246763479e+01,-9.4970620787e+00
1.3341977691e+07,2.9338938775e+01,-8.0276779805e+00
1.5985199686e+07,2.8716862082e+01,-6.8276115710e+00
1.9761231108e+07,2.8198791813e+01,-5.6616830280e+00
2.3537262530e+07,2.7881463540e+01,-4.8674231805e+00
2.8823706521e+07,2.7600863362e+01,-4.0951567947e+00
3.4865356796e+07,2.7396910516e+01,-3.4887419533e+00
4.2039816498e+07,2.7240832128e+01,-2.9865155850e+00
5.1102291910e+07,2.7114104050e+01,-2.5491585018e+00
6.2052783034e+07,2.7018783093e+01,-2.1882886671e+00
7.4891289869e+07,2.6946458604e+01,-1.9074911871e+00
9.0750621841e+07,2.6891419591e+01,-1.6774704677e+00
1.1000838209e+08,2.6844991980e+01,-1.5075741957e+00
1.3341977691e+08,2.6805192002e+01,-1.3840385228e+00
1.6174001257e+08,2.6766723604e+01,-1.3148008808e+00
1.9572429537e+08,2.6721998582e+01,-1.2884957335e+00
2.3726064101e+08,2.6667115052e+01,-1.3118789121e+00
2.8748185893e+08,2.6591879962e+01,-1.3783412198e+00
3.4789836168e+08,2.6486952151e+01,-1.4923969763e+00
4.2153097440e+08,2.6335984878e+01,-1.6552931188e+00
